1鱼村出生所拿的原生宠物,凯比
2以下那些没有"气5回复"效果的是,绿色沙拉
3晒干的海星跟晒干的炭可以做成那种料理,海星火焰 
4"充满原始风味的粽子"之称的是那一种料理,原始粽子 
5下列那一种料理是不存在的,新鲜好吃的牛肉
6要做成渔村风烤贝壳以下那一个是不需要的,卡鲁它那产的盐 
7那一个不是霍尔特产,萝卜
8用最棒的食材制作的纳豆名称为,特选纳豆
9大的海星和水份多的梨子能做成何种料理,海星梨
10说明文为"跟料理铁人一样有所坚持的关东煮"的料理是那一个,铁人关东煮 
11要做"危险的生鱼片"的材料是下列那一个,卷贝 
12下列那种料理没有回复气力22的效果,石烤地瓜 
13新手出来要去哪里抓BB,宠物乐园
14请回答料理"独门秘方牛肉炖煮"的说明文是,炖很久的牛肉炖煮 
15下面那种料理内有青蛙和海藻,青蛙手卷
16做三明治的时候那一种东西是绝对会被放进去的,橡树果 
17料理"跳跃青蛙"是由下列那种材料所制造出来的,青蛙+油 
18料理"海星的盐味串烧"的效果是以下那一个,5回合左右酒醉
19下列哪一个没有"捕获率1UP"的效果,橘子糖
20下列那一个是在生日蛋糕的材料中是没有的,橡树实 
21加加的蔬菜店有卖以下那种东西,萨姆吉尔产的柿子 
22以下没有"酒醉4回合前后"效果的料理是,甜的水果酒
23下列那个无法回复25气力,热肉汤
24料理"肉粽"的道具说明是以下的那一个,包肉的粽子 
25"苹果酱汁牛排"料理的说明文为以下何者,都是苹果的牛排 
26下列哪些食物无气2回复效果,生包心菜
27独门秘方牛肉炖煮的说明文,炖很久的牛肉炖煮
28用新鲜花枝+美丽的盐+品质优良的炭=,新鲜的烤花枝
29回答料理"豪华船生鱼片"的说明文,究极生鱼片
30料理"烤焦的虾子串烧"的效果是以下那一个,石化3回合前后
31料理"螃蟹味噌汤"的效果是以下那个,气70回复(1体)
32以下属性没有"地10"的是那一个,绿龟
33全身发红.看起来又软弱.还会过来用大舌头舔人.这恶心的宠物名字是,贝洛宝利
34相簿NO76是,多利凯拉
35近藏的宠物的名字是,小卡
36卡坦的储存点是拿什么肉去才会给我们记录呢,特洛昆
37阿布的洞窟前的储存点要用布伊和什么宠物的肉才能储存呢,火鸡
38肚子是橘色的鲨鱼系宠物是,加克拉
39以下有地属性的宠物是那一个,克雷尔
40请问乌力在那里抓,鱼村门口
41在萨姆吉尔村出生的人所拿的原生宠物是什么,乌力乌力
45请问威威在哪里抓,加加门口
46马伦所饲养的宠物的名字是,加特力奴
47相簿中登记为第52号的宠物是以下那个,里斯基
48长毛象公车的大象名字叫什么,玛恩摩
49愿藏的宠物的名字是,呼拔吉 
50在沙姆岛(地上)除了鸟的恐龙之外还有什么恐龙出没? 用恐龙名回答,布拉奇多斯
51玛丽那斯的村庄的女子提到的鸭子名字是,加亚鸭
52柯尔克村宠物店里有的宠物是呼拔拔和洛恩和后一个是什么,小特洛昆
53以下有火属性的宠物是,布伊比
54石龟的属性是,地9风1
55格尔顿跟格尔格在前面和后面.那么奇拉顿在齐尔格尔顿上下左右的那边呢,上
56乌力乌力身体的颜色是,红色和橘色
57乌力斯坦是什么颜色,黑色跟白色  
58卡比特凯比昆伊凯比特的各别风属性合计值是多少,26
59宠物的技巧之中保护玩家的技能叫做什么,忠犬
60凯比特的身体是什么颜色,黄色
61加鲁卡岛最南边的村庄的名称是,奇喀喀
62卡鲁它那的长毛象客运的介绍人的名字是,阿民
63塔姆塔姆的医生2年前曾经在那的医院呢,萨姆吉尔
64加加的道具屋有卖什么,阿昆尼斯Lv3鸣子
65在达那村的道具店中下列那一个东西最昂贵,黑骨首饰
66柯尔克的青年买了弓和什么武器之后却在烦恼呢,回力标(镖要改成标)
67那鲁它那牧场屋内的宠物全部有几只,10
68在加加的村子的防具屋卖594s的防具名称正确的说出来,提欧Lv1铠2
69到卡鲁它那上学的小孩子有几个人,5
70在卡鲁它那牧场利用恐龙的什么跟什么可以生成加工素材呢,皮和骨
71在卡鲁它那村里的情报员10年前地震的时候是几岁呢,7岁
72回答卡鲁它那的村长所站位置的坐标,东17:南20
73在柯尔克村的道具店中下列那一种东西最便宜,红色大首饰
74卡鲁它那村子的东77南93有谁在那呢,钓竿专家
75向我们推销茶的村长是那个村庄的,柯尔克
76长毛象客运加加分店的介绍人的名字是,卡鲁那
77在玛丽那斯卖的高级玛丽那斯虾要多少石头,150
78请回答卡坦的留言板的坐标,东78:南97
79到卡坦村看医生的患者初诊通常都是患什么病呢,中暑
80多多的便利武器店所卖商品的总值是,34170
81在加鲁卡岛最北边的村庄名称是,塔姆塔姆
82在加加的便利商店内圆的座垫有几张,32
83卡鲁它那的情报员现在几岁请选出正确的答案,17
84柯奥的防具店最高卖价的东西和霍尔特的武器店最高卖价的东西总值是,10850
85塔姆塔姆村里的"情报员"是怎样的人,老伯
86加加的储存点拿什么肉就会让我们记录呢,乌宝宝的肉
87加鲁卡岛最南边的村庄的名称是,奇喀喀
88在萨姆吉尔里大石像的模特儿是谁,萨姆吉尔
89在玛丽那斯的医院帮我们的回复的护士手上拿着什么,针筒
90在画面上可以选择出身地的村庄是玛丽那斯萨姆吉尔加加还有一个是,卡鲁它那
91卡鲁它那牧场打工抓20-30级的宠物是,多利诺布斯
92在医院帮宠物恢复体力要多少钱,不用钱
93在卡鲁他那素材店(骨石头),有在卖"骨的碎片"要多少钱,26
94萨村学校老师手上拿着什么,骨
95加加便商利店内，料理老师并没有告诉我们以下哪一种东西,料理的说明
96柯尔克的石屋主人是几岁开始作投掷石的呢,13
97查罕3兄弟中最小的弟弟名字是那一个,查罕鲁德
98日美子和弥生谁在玛丽那斯,弥生
99"逃走呼拔拔"猎人名人的名字是,吉萨拉奇
100萨姆吉尔村长家的料理人名字是,鲍尔
101对着奇喀喀村长家大门时.站左侧的警备员是哥哥还是弟弟,弟弟
102在萨伊那斯的桥上阻碍通行的是谁,坏心眼的愿藏
103恐龙博士的助手的名字是,吉鲁
104盗贼的洞窟地下3楼得人的名字是,铁壁的小守
105石器时代的世界的名称是,尼斯
106玛丽那斯村庄中和青年在一起的乌力乌力的叫什么名字,乌力次郎
107日美子的好友是何人,弥生
108哥亚山的乌利斯凯把信交给谁,乌利美
109只能帮自己回复的咒术是,治愈的精灵
110练级NPC 10级指的是什么地方,柯奥山
111下面3个精灵之中属于非回复系咒术的是那个,守护的精灵
112请写出可以一次回复全体团员耐久力的精灵咒术,恩惠的精灵
113能使玩家在被攻击时将攻击反射回去一次的是那种精灵咒术,镜的精灵
114经营长毛象公车的是,长毛象客运
115聊天室大厅叫什么,长毛象大厅
116吃了回复气力的料理,玩家的反应是,点头 
117美容师给玩家哪一种参数值的改变呢,魅力
118玩家互相比试应要叫做什么,决斗 
119石器第一次改版千全部宠物有多少只,124
120在公式比武中规定的50~59的等级是,贝鲁(伊)卡
121玩家角色或是宠物气绝时在头上环绕的星星有几个,3个
122"坏心眼的愿藏"是那一手拿着武器的呢,右手
123成人的仪式结束之后能得到什么呢,仪之兜
124石器时代的发售日是,2000年4月20日 
125玩家身上最多可以带多少石头币呢,1000000(六个零)
126玩家人物中头发是黑色的有多少人,4人
127这个世界钱的单位是,石头
128道具"仙尼亚的花"的正确说明是那一个,在萨姆吉尔花圃上摘的花
129摩浦叶是在那里生长植物呢,平原
130这游戏的英文名称是,STONEAGE
131请选出下列名称错误的东西,绿玉首饰
132捉迷藏少年里奥所持有的愿藏人偶是朝向左右那一边呢,右
132请问喜欢石器时代么,喜欢
133这个世上用钱做成的地方是那里,吉鲁岛
134请问搭飞机要多少石B,1000
135通过海底信道需要什么,通行证
136长毛象公车在公车站停留多久的时间呢,3分
137乌西摩尼叶的说明中"解毒的???植物"这个"???"要放入什么,热带性
138加工用的道具中最便宜的是东西是什么石,石1
139小斧头跟小棍棒那一样比较贵呢,小斧头
140阿布的独栋房屋里共有多少坐垫呢,10枚
141红玉的手环的数值是以下的那一个,攻+2防+2敏-2魅+1
142等级由1变到2要多少经验值,2
142可以恢复我们魅力的是谁,美容师
143"坏心眼的愿藏"是那一手拿着武器的呢,右手
144气力回复40的气力回复药瓶子是什么颜色的呢,黄色
145玩家在石器里无法做的动作是,睡觉
146石器时代新手报到包的定价是,250台币
147长毛象公车出发时的鸣叫声是,叭叭叭
148"oooo的近藏"那么o里面应该是,山贼志愿
149组成团队最大人数是多少人,5人
150一遇到跑过来的长毛象公车人物会变成怎样,不会怎样
151清澈的鳞是鳞的成份几呢,鳞的成份4
152能跟乌力斯坦说话的道具是,不可思议的贝壳
153怎样才能坐长毛象公车呢,加入团队
